Book Title,Author,ISBN,Genre,Publication Year,Language,Stock,Price (NPR),Publisher,Reorder Point
Muna Madan,Kiran Shrestha,978-9937-869-48-4,Academic,2024,Hindi,71,1847.32,Educational Publishing House,11
Shirishko Phool,Ashesh Malla,978-9937-466-18-1,Fiction,2019,Maithili,35,1682.15,Ratna Pustak Bhandar,18
Ghumne Mechmathi Andho Manche,Rita Thapa,978-9937-197-58-7,Academic,2019,English,36,438.49,Sajha Prakashan,6
Seto Dharti,Kedar Man Singh,978-9937-519-44-5,Fiction,2021,Nepali,16,1142.14,Bookhill,20
Narendra Dai,Phatte Bahadur Singh,978-9937-661-46-5,Fiction,2019,Hindi,8,1839.57,Ekta Books,14
Palpasa Cafe,Nisha Kharel,978-9937-493-85-4,Fiction,2021,Maithili,55,1055.11,Ekta Books,19
Karnali Blues,Dinesh Raj Kafle,978-9937-781-38-8,Academic,2023,Nepali,2,1690.88,Sajha Prakashan,10
Pagal Basti,Suman Pokhrel,978-9937-321-55-4,Non-fiction,2023,Nepali,21,714.58,Ratna Pustak Bhandar,17
Summer Love,Ashesh Malla,978-9937-357-63-3,Fiction,2018,Nepali,19,273.11,Sajha Prakashan,16
Saya,Upendra Subba,978-9937-339-61-8,Academic,2021,Nepali,2,1565.59,Bookhill,8
Yugal Gurung,Anupama Bhattarai,978-9937-979-11-1,Fiction,2019,Newari,40,942.41,Bookhill,12
Himalaya Ka Katha,Shrawan Mukarung,978-9937-326-98-0,Non-fiction,2023,English,6,713.79,Nepalaya,18
Basanta Ritu,Girija Prasad Joshi,978-9937-143-31-4,Fiction,2024,Nepali,19,1828.59,Pragya Publications,14
Aama,Kedar Man Singh,978-9937-547-47-3,Fiction,2023,Nepali,2,879.14,Educational Publishing House,5
Bhagawat Geeta,Rupa Joshi,978-9937-867-51-9,Academic,2019,Maithili,35,1355.85,Ekta Books,12
Shree Krishna,Subin Bhattarai,978-9937-506-20-3,Fiction,2018,Hindi,56,739.63,Nepalaya,14
Chandra Kanta,Maya Gurung,978-9937-360-66-2,Non-fiction,2019,Nepali,30,778.85,Mandala Book Point,20
Jeevan Daan,Laxmi Prasad Devkota,978-9937-618-41-1,Fiction,2021,Maithili,39,626.48,Ekta Books,17
Sanjay Ka Sawaal,Gyanendra Shrestha,978-9937-497-93-0,Academic,2018,English,51,232.85,Educational Publishing House,11
Dhalko Aakha,Dinesh Sharma,978-9937-513-28-5,Fiction,2024,Newari,61,768.61,Himalayan Book Centre,16
Saalikharako Bato,Gopal Prasad Rimal,978-9937-578-70-2,Academic,2019,Newari,36,1475.51,Bookhill,10
Makhamali,Kamal Narayan Khand,978-9937-636-51-6,Fiction,2022,Newari,42,1230.84,Ratna Pustak Bhandar,15
Sahara,Deepak Sharma,978-9937-401-82-7,Children's books,2019,Maithili,60,1225.48,Pragya Publications,14
Sita Ram,Ashesh Malla,978-9937-721-48-7,Fiction,2024,Newari,52,1239.68,Nepalaya,15
Phoolko Ghar,Yuyutsu Sharma,978-9937-103-38-2,Fiction,2023,Hindi,36,875.69,Ratna Pustak Bhandar,12
Ghar,Buddhisagar,978-9937-610-31-6,Fiction,2021,English,59,1174.27,Educational Publishing House,11
Hawa Mahal,Krishna Kumar Bhandari,978-9937-827-23-4,Children's books,2021,English,67,1502.34,Bookhill,15
Gharma Bato,Bhanubhakta Acharya,978-9937-176-22-9,Academic,2023,Maithili,6,1991.13,Bookhill,15
Samaya,Shankar Lamichhane,978-9937-991-77-7,Fiction,2019,Maithili,10,1957.08,Sajha Prakashan,5
Mahakavi Devkota,Madan Mani Dixit,978-9937-524-17-8,Fiction,2019,English,68,1889.43,Bookhill,19
Rajesh Hamal Ko Ghar,Khagendra Sangraula,978-9937-271-87-6,Non-fiction,2022,English,32,1938.42,Ratna Pustak Bhandar,20
Jatra,Umesh Niraula,978-9937-719-16-9,Non-fiction,2023,Newari,13,405.69,Himalayan Book Centre,6
Nirmaya,Parijat,978-9937-211-74-6,Non-fiction,2023,Nepali,47,1426.92,Fine Print,15
Pashupati Prasad,Pratik Shrestha,978-9937-310-13-9,Fiction,2019,Nepali,72,1598.19,Pragya Publications,6
Udaan,Ambika Prasad Upadhyaya,978-9937-766-94-5,Non-fiction,2021,Nepali,88,427.17,Mandala Book Point,13
Parijat,Parijat,978-9937-249-34-4,Fiction,2022,Newari,66,240.76,Fine Print,15
Kusum,Keshav Bhatta,978-9937-845-25-0,Fiction,2018,Hindi,67,1561.07,Pragya Publications,17
