Order Date,Book Title,ISBN,Quantity,Cost Price (NPR),Supplier
2023-04-22,Mitra,978-9937-369-32-9,59,994.54,Sajha Yatayat
2019-11-01,Prashasan Ra Udyog,978-9937-765-37-5,82,1259.36,Shree Tara Books
2023-02-28,Structural Engineering Basics,978-9937-454-23-3,74,1485.36,Srijana Prakashan
2018-12-08,Circuit Analysis and Design,978-9937-735-88-4,95,438.49,Ekta Books
2021-05-23,Nepal Ko Samaj,978-9937-328-72-1,64,1454.02,Sajha Yatayat
2022-04-10,Ghar Ko Raat,978-9937-182-30-7,83,410.74,Sita Ram Prakashan
2019-11-18,Nepal Ko Prashasan,978-9937-553-29-3,37,1122.38,Shrestha Books
2020-05-26,Yatra Ki Aasha,978-9937-528-85-8,24,1157.47,Himal Books
2023-02-03,Yatra Ko Sangraha,978-9937-603-18-6,39,859.16,Samyukta Prakashan
2020-09-18,Sathi Ko Safar,978-9937-316-92-3,36,793.79,Srijana Prakashan
2023-02-23,Nepali Bhasha Ra Samaj,978-9937-466-69-2,61,1221.84,Katha Ghar
2023-12-30,Shiksha Ra Khusi Ko Katha,978-9937-369-94-7,61,338.62,Educational Publishing House
2019-11-28,Nepali Udyog Ko Bato,978-9937-482-47-7,94,866.25,Birat Books
2022-10-23,Anant,978-9937-992-29-7,57,861.89,Om Publications
2022-12-08,Ghar Ko Sahar,978-9937-760-84-8,72,584.29,Mahatma Publication
2021-02-12,Arthik Vikas Ra Itihas,978-9937-690-22-3,18,471.21,Fine Print
2024-06-04,Suna Ko Chhito,978-9937-472-80-5,85,351.59,Nirmal Publication
2021-07-19,Cybersecurity Fundamentals,978-9937-143-51-2,50,1324.31,Jagadamba Press
2023-08-24,Chhalfal,978-9937-800-55-9,13,1415.51,Srijana Prakashan
2023-03-20,Emotional Intelligence,978-9937-713-29-1,89,390.36,Nepalaya
2023-08-16,Nepali Samaj Ra Vikas,978-9937-373-82-6,70,902.54,Fine Print
2021-04-05,Chhalphal Ramailo Yatra,978-9937-361-92-4,51,1339.82,Ekta Books
2020-11-11,Thulo Pasa,978-9937-811-15-4,22,376.53,Nepalaya
2023-11-10,Sathi Ko Ramailo,978-9937-377-11-0,28,1052.41,Educational Publishing House
2020-04-08,Ghumti Duniya,978-9937-938-39-7,29,1134.53,Shrestha Books
2024-01-02,Project Management,978-9937-929-90-7,73,1110.78,Fine Print
2023-10-02,Baal Patak,978-9937-594-96-9,59,597.05,Sita Ram Prakashan
2022-04-19,Electronics and Communication Engineering,978-9937-459-14-5,23,1289.92,Shankar Books
2023-08-28,Social Issues and Problems in Nepal,978-9937-241-41-3,88,263.47,Jagadamba Press
2024-01-12,Anant,978-9937-992-29-7,28,1058.8,Sajha Yatayat
2023-05-30,Naya Saathi,978-9937-572-68-1,71,720.82,Ekta Books
2023-06-27,Khusi Ko Ramailo Ghar,978-9937-279-81-7,24,709.48,Mandala Book Point
2018-12-02,Raag,978-9937-674-99-3,79,1335.3,Gyan Books
2024-03-15,Ramailo Ghar Ko Yatra,978-9937-246-91-3,29,524.29,Birat Books
2023-10-09,Conservation Biology,978-9937-583-10-5,37,386.84,Himalayan Book Centre
2023-08-19,Microeconomics: Principles and Practices,978-9937-148-52-9,90,1035.11,Sajha Yatayat
2023-06-25,Shahar Ko Katha,978-9937-950-75-2,72,406.07,Mitra and Brothers
